code,species_or_category
codium,Codium fragile
egregia,Egregia menziesii
fucus,Fucus gardneri
macro,Macrocystis integrifolia
n/a,no data
nereo,Nereocystis leutkeana
none,no vegetation
surfgrass,Phyllospadix spp
ulva,Ulva lactuca
unal,unknown algae
zostera,Zostera marina
6,filamentous
a2,large blade
a3,small blades or globular
ab1,brown bushy or branched
ab2,brown large blades
ab3,brouwn small blades or globular
ag1,green bushy or branched
ag3,green small blades or globular
ag6,green filamentous
