site,type,kelp,seagrass,water25m,freshwater,sandgravel,rockyshore
cas1,o,270,0,850,4225,0,50
cas2,o,1700,0,400,525,0,450
chp,s,10,0,600,1050,0,10
fan1,a,30,0,600,7000,0,100
fan2,o,5,0,150,7500,0,5
fan3,s,160,0,1100,7500,0,320
fei1,o,4000,0,800,700,0,290
fei10,o,800,0,170,2200,0,20
fei11,o,2000,0,300,6000,0,90
fei12,o,4300,0,1350,50,0,50
fei13,o,1500,0,250,700,0,125
fei2,o,3750,0,500,400,0,50
fei3,a,1700,0,1820,715,0,180
fei4,o,340,0,600,1670,0,20
fei5,o,400,0,500,3500,0,100
fei6,o,5500,0,2250,5,0,15
fei7,o,150,0,132,2000,0,10
fei8,o,4250,0,1300,500,0,50
fei9,o,1600,0,125,2800,0,175
gog1,a,650,0,2800,19000,0,300
gog2,o,200,0,1600,3700,0,200
gog3,o,175,0,1100,5500,0,100
gog4,a,150,15,1250,15000,0,40
hab1,o,2500,0,300,1100,0,15
hab2,a,150,1700,750,1950,0,200
hab3,o,2700,0,500,1500,0,120
hab4,a,1250,3400,400,220,0,115
hab5,o,200,0,250,1500,0,20
hab6,o,2500,300,600,500,0,500
hab7,o,1000,100,750,150,0,175
hdo,s,3280,0,1000,450,0,90
kis1,a,5,0,95,5500,0,5
kis10,o,0,0,200,3300,0,5
kis2,a,5,3000,175,4450,0,10
kis3,o,2250,0,1200,4000,0,70
kis4,o,3500,0,150,650,0,20
kis5,o,200,0,250,850,0,10
kis6,o,300,0,500,1300,0,15
kis7,o,400,0,975,7000,0,15
kis8,o,350,0,500,1700,0,30
koe1,a,400,400,475,250,0,180
koe2,o,640,100,750,0,0,40
koe3,a,5,0,250,5,0,5
nam1,o,180,0,200,1600,0,0
nam2,o,800,0,120,1800,0,0
pba,s,3200,0,820,400,0,150
ppo,s,2300,0,210,1600,0,10
rie1,o,44000,0,60,0,0,100
rie2,o,41000,11000,600,0,0,1000
rie3,o,44000,14000,250,20,0,500
ris1,a,1850,5,325,3500,0,20
ris2,o,3000,1400,100,50,0,170
ris3,a,400,0,750,1550,0,260
ris4,o,8000,3000,100,3750,0,10
ris5,o,25000,3000,20,5,0,98
ris6,o,300,50,500,1800,0,300
ris7,o,1500,0,470,5000,0,25
sni1,a,3000,0,700,200,0,125
sni10,o,100,0,180,2000,0,20
sni11,o,1150,0,175,30,0,25
sni12,o,1350,0,150,60,0,15
sni2,a,1650,950,130,2100,0,0
sni3,o,1500,0,450,1700,0,50
sni4,o,1750,0,450,20,0,130
sni5,o,1000,0,670,430,0,30
sni6,o,2100,0,200,950,0,10
sni7,o,250,0,200,3400,0,25
sni8,o,1400,0,250,20,0,20
sni9,o,300,0,150,300,0,10
ssp,s,335,10,560,850,0,200
wfb,s,420,350,1350,300,0,200
