site,year,month,day,replicate,frac8000um,frac4000um,frac2000um,frac1000um,frac500um,frac250um,frac125um,frac63um,frac32um,frac20um,fracless20um,sum,notes
fei8,2015,5,21,na,19.93,20.55,15.54,23,22.63,18.33,12.97,5.94,0.96,0.07,0,139.92,
fei9,2015,5,21,na,0,3.03,1.68,4.69,10.61,24.49,21.23,7.31,1.87,0.28,0,75.19,
sni5,2015,5,22,na,10.41,22.68,10.86,28.33,39.22,24.96,12.81,4.42,1.59,0.12,0,155.4,
sni6,2015,5,22,na,61.89,18.57,10.43,9.09,6.97,9.82,7.92,2.28,0.62,0.05,0,127.64,
kis7,2015,5,23,na,0,0,0.04,1.89,40.3,83.55,58.72,10.18,0.48,0,0,195.16,
kis8,2015,5,23,na,15.39,12.9,41.58,46.41,36.93,22.46,16.26,4.4,0.95,0.12,0.02,197.42,
hab5,2015,6,14,na,3.35,0.46,1.11,4.16,9.34,28.06,65.21,11.13,0.35,0,0,123.17,
hab7,2015,6,14,na,7.95,27.73,23.1,44.33,29.94,26.36,21.6,1.58,0.87,0,0,183.46,
cas1,2015,6,15,na,22.28,26.87,10.64,9.02,10.64,19.79,21.02,40.37,0.84,0,0,161.47,
cas2,2015,6,15,na,0,1.12,2.3,2.91,3.96,2.34,56.78,38.43,1,0,0,108.84,
nam1,2015,6,16,na,0,4.59,10.35,23.64,44.83,10.65,6.28,2.7,0.1,0,0,103.14,
nam2,2015,6,16,na,6.49,28.44,24.49,18.65,10.61,14.17,10.3,1.51,0.46,0.1,0,115.22,
sni7,2015,6,16,na,9.01,19.2,7.67,4.7,37.02,40.54,5.22,4.45,0.15,0.5,0,128.46,
kis2,2015,6,17,na,2.89,0.87,3.03,19.5,41.79,2.85,0.48,0.16,0.1,0.5,0,72.17,
kis10,2015,6,17,na,1.05,5.53,7.13,21,29.19,25.58,12.27,2.62,1.02,0.42,0.36,106.17,
fei10,2015,6,18,na,126.44,70.89,69.84,3.66,0.46,0.57,2.29,1.44,0.21,0.08,0.05,275.93,
fei11,2015,6,18,na,24.41,15.85,25.38,51.92,44.44,11.05,1.38,0.42,0.08,0,0,174.93,
hab6,2015,6,19,na,0.1,0.1,0.37,5.41,39.52,76.29,51.89,14.57,1.25,0.29,0,189.79,
sni11,2015,8,14,na,26.89,9.34,27.44,47.96,45,8.68,1.26,0.74,0.07,0.02,0,167.4,
sni12,2015,8,14,na,0,1.88,2.02,5.01,6.21,12.38,15.63,11.56,3.01,0.49,0,58.19,
gog4,2015,8,15,na,0,0.42,0.2,0.55,1.21,42.98,96.75,1.59,0.19,0.05,0,143.94,
ris4,2015,8,16,na,64.13,16.07,12.76,23.74,24.94,13.56,5.5,2.64,1.55,0.11,0.02,165.02,
ris6,2015,8,17,na,9.48,17.31,24.95,21.8,11.24,1.29,23.08,7.6,0.16,0.03,0,116.94,
ris7,2015,8,17,na,35.07,16.72,15.57,15.82,11.32,13.29,13.04,3.77,0.44,0.2,0,125.24,
kis1,2014,6,13,na,1.21,7.16,18.05,79.7,104.21,5.69,1.24,0.39,0.02,0,0,217.67,
hab2,2014,6,14,na,0,0,1.39,4.5,4.8,181.9,79.55,2,0.3,0,0,274.44,
koe1,2014,6,15,na,0,0.39,1.08,3.07,11.17,37.28,67.09,1,0.1,0,0,121.18,
hdo,2014,6,16,na,0,0.29,0.06,0.83,4.57,79.96,24.53,1.84,0.17,0,0,112.25,
ssp,2014,7,2,na,0,0,0.17,0.1,0.85,108.24,141.34,1.08,0.03,0,0,251.81,
hab4,2014,7,3,na,24.81,14.98,10.81,13.48,23.07,43.81,40.8,7.71,0.6,0.01,0,180.08,
wfb,2014,7,9,na,0,0,0.49,2.65,3.43,61.6,57.69,0.95,0,0,0,126.81,
chp,2014,7,9,na,6.19,21.24,27.36,25.87,9.56,7.25,9.21,0.43,0.04,0,0,107.15,
fei1,2014,7,11,2,8.56,6.35,4,12.85,35.02,39.61,17.71,5.64,1.45,0,0,131.19,
fei1,2014,7,11,1,3.68,14.22,18.62,31.97,30.22,23.53,13.82,4.32,0.85,0,0,141.23,
fei2,2014,7,11,2,34.48,3.7,4.8,4.95,6.58,6.83,5.76,2.84,0.42,0,0,70.36,
fei2,2014,7,11,1,2.38,9.22,27.35,35.87,26.61,20.69,13.04,5.56,1.67,0.1,0,142.49,
kis3,2014,7,12,na,6.55,20.34,24.5,32.35,29.69,29.32,15.27,3.22,0.49,0,0,161.73,
kis4,2014,7,12,na,2.66,3.01,5.89,9.81,13.39,27.34,72.4,22.04,1.42,0.11,0,158.07,
fan1,2014,7,13,2,5.56,14.44,17.9,36.24,15.72,11.7,27.37,4.61,0.77,0.29,0.08,134.68,
fan1,2014,7,13,1,0,1.82,9.85,42.13,84.6,39.39,2.87,0.18,0,0,0,180.84,
fan2,2014,7,13,na,3.01,2.61,6.95,37.7,54.05,2.99,0.54,0,0,0,0,107.85,
sni1,2014,7,14,na,0.98,1.52,4.87,8.46,12.62,20.49,18.91,5.66,0.94,0.09,0,74.54,
sni2,2014,7,14,na,1,9.41,23.97,39.95,23.6,25.76,18.71,2.26,0.32,0.07,0,145.05,
sni3,2014,7,23,na,8.35,14.36,24.04,29.16,38.25,42.37,28.27,7.3,1.59,0.22,0.08,193.99,
koe3,2014,7,24,1,13.87,12.64,11.05,34.57,126.77,85.58,14.43,0.86,0.09,0,0,299.86,
gog1,2014,7,26,na,0,0,0.09,0.5,5.71,156.89,140.06,0.67,0,0,0,303.92,
fan3,2014,7,27,na,1.85,9.36,28.68,63.79,121.8,102.98,19.54,1.47,0.15,0,0,349.62,
ris2,2014,7,29,1,57.62,29.71,32.11,37.01,34.7,16.71,1.99,0.69,0.1,0,0,210.64,
kis6,2014,7,28,na,8.53,34.71,53.84,65.59,39.12,7.05,19.01,43.47,2.82,0.1,0,274.24,
ris1,2014,7,29,na,6.25,12.57,25.99,45.04,128.87,105.51,0.27,0.15,0,0,0,324.65,
kis5,2014,7,28,na,4.08,17.78,90.75,116.29,72.15,20.97,3.25,1.25,0,0,0,326.52,
gog2,2014,7,30,2,0,0,0.17,2.05,2.63,58.52,258.19,4.18,0.21,0.13,0,326.08,
gog3,2014,7,30,1,0,0.25,0.45,0.95,1.79,26.99,225.17,19.89,0.12,0,0,275.61,
pba,2014,8,13,1,3.01,1.13,0.3,1.11,8.73,29.43,35.65,27.14,10.02,1.25,0.02,117.79,
ppo,2014,8,13,2,1.55,5.47,14.41,22.67,30.62,129.41,83.15,9.01,1.09,0,0,297.38,
hab1,2014,8,13,na,92.11,9.7,10.28,8.79,11.45,29.68,19.47,3.12,0.82,0.01,0,185.43,
hab3,2014,8,13,na,0,0.02,0.16,0.73,2.56,63.39,39.73,0.93,0.05,0,0,107.57,
fei3,2014,8,15,2,0.8,18.12,30.34,33.69,37.13,34.1,20.36,5.96,1.04,0.19,0.09,181.82,
fei4,2014,8,15,2,7.29,3.62,6.9,21.7,47.63,47.83,29.57,15.45,2.25,0.14,0,182.38,
sni4,2014,8,22,na,0.48,2.38,2.75,10.42,44.58,132.76,108.16,9.95,0.51,0.11,0,312.1,
fei5,2014,8,23,1,6.69,1.15,4.7,19.02,51.74,112.16,124.22,40.93,1.95,0,0,362.56,
fei6,2014,8,24,,281.27,9.33,9.01,10.97,10.15,7.27,3.05,0.73,0.14,0,0,331.92,
fei7,2014,8,24,,21.29,14.25,23.52,39.25,54.25,185.33,16.52,0,0,0,0,354.41,
ris3,2014,8,25,1,2.51,7.41,13.08,19.96,23.89,24.77,11.49,3.76,1.23,0.06,0,108.16,
ris4,2014,8,25,2,3.31,10.1,34.72,55.29,58.73,42.59,9.79,1.05,0.13,0,0,215.71,
rie1,2014,9,11,2,0,0,0,1.26,2.32,18.7,68.08,39.9,6.1,0,0,136.36,
rie2,2014,9,12,na,0,0,0.3,0.52,2.65,27.46,48.06,56.34,15.9,1.96,0.49,153.68,
rie3,2014,9,12,4,0,0,0.24,6.65,42.19,89.14,11.7,0.48,0.1,0.05,0,150.55,
